type,recipe_id,ingredient,amount_sum,units_std,servings,calories,value,amount_per,calories_per
cupcake,100496,baking powder,0.0625,cups,12,273,1 tablespoon baking powder,0.005208333333333333,22.75
cupcake,100496,butter,0.25,cups,12,273,"1/4 cup butter, softened",0.020833333333333332,22.75
cupcake,100496,buttermilk,0.5,cups,12,273,1/2 cup buttermilk,0.041666666666666664,22.75
cupcake,100496,cream,0.75,cups,12,273,3/4 cup heavy cream,0.0625,22.75
cupcake,100496,eggs,2,eggs,12,273,2 eggs,0.16666666666666666,22.75
cupcake,100496,flour,2,cups,12,273,2 cups all-purpose flour,0.16666666666666666,22.75
cupcake,100496,fruit,2,cups,12,273,"1 pint strawberries, sliced",0.16666666666666666,22.75
cupcake,100496,honey,0.75,cups,12,273,3/4 cup honey,0.0625,22.75
cupcake,100496,salt,0.005208325,cups,12,273,1/4 teaspoon salt,4.340270833333333e-4,22.75
cupcake,100496,sugar,0.375,cups,12,273,1/4 cup white sugar;2 tablespoons confectioners' sugar (optional),0.03125,22.75
cupcake,100496,vanilla,0.01041665,cups,12,273,1/2 teaspoon vanilla extract,8.680541666666666e-4,22.75
cupcake,105768,baking soda,0.03124995,cups,20,160,1 1/2 teaspoons baking soda,0.0015624974999999999,8
cupcake,105768,butter,0.5,cups,20,160,1/2 cup butter,0.025,8
cupcake,105768,buttermilk,1,cups,20,160,1 cup buttermilk,0.05,8
cupcake,105768,chocolate,0.3333333333333333,cups,20,160,1/3 cup unsweetened cocoa powder,0.016666666666666666,8
cupcake,105768,eggs,2,eggs,20,160,2 eggs,0.1,8
cupcake,105768,flour,2,cups,20,160,2 cups all-purpose flour,0.1,8
cupcake,105768,salt,0.0208333,cups,20,160,1 teaspoon salt,0.001041665,8
cupcake,105768,sugar,1.5,cups,20,160,1 1/2 cups white sugar,0.075,8
cupcake,105768,unitless,1,NA,20,160,1 fluid ounce red food coloring,0.05,8
cupcake,105768,vanilla,0.0208333,cups,20,160,1 teaspoon vanilla extract,0.001041665,8
cupcake,105768,vinegar,0.0625,cups,20,160,1 tablespoon distilled white vinegar,0.003125,8
cupcake,136471,baking powder,0.0625,cups,24,130,1 tablespoon baking powder,0.0026041666666666665,5.416666666666667
cupcake,136471,baking soda,0.0208333,cups,24,130,1 teaspoon baking soda,8.680541666666666e-4,5.416666666666667
